FAULT_ID	CITATION
444	Aristarhova, 1989
444	Aristarhova, data 1996
445	Aristarhova et al., 1991
445	Aristarhova, 1989
445	Aristarhova, data 1996
446	Aristarhova et al., 1991
446	Aristarhova, 1989
446	Aristarhova, data 1996
447	Aristarhova et al., 1991
447	Aristarhova, 1989
447	Aristarhova, data 1996
448	Aristarhova et al., 1991
448	Aristarhova, 1989
448	Aristarhova, data 1996
449	Aristarhova et al., 1991
449	Aristarhova, 1989
449	Aristarhova, data 1996
450	Aristarhova et al., 1991
450	Aristarhova, 1989
450	Aristarhova, data 1996
451	Aristarhova et al., 1991
451	Aristarhova, 1989
451	Aristarhova, data 1996
452	Aristarhova et al., 1991
452	Aristarhova, 1989
452	Aristarhova, data 1996
453	Aristarhova et al., 1991
453	Aristarhova, 1989
453	Aristarhova, data 1996
454	Working material, data 2019
455	Working material, data 2019
456	Aristarhova et al., 1991
456	Aristarhova, 1989
456	Aristarhova, data 1996
457	Aristarhova et al., 1991
457	Aristarhova, 1989
457	Aristarhova, data 1996
458	Aristarhova et al., 1991
458	Aristarhova, 1989
458	Aristarhova, data 1996
459	Aristarhova et al., 1991
459	Aristarhova, 1989
459	Aristarhova, data 1996
460	Aristarhova et al., 1991
460	Aristarhova, 1989
460	Aristarhova, data 1996
461	Aristarhova et al., 1991
461	Aristarhova, 1989
461	Aristarhova, data 1996
462	Aristarhova et al., 1991
462	Aristarhova, 1989
462	Aristarhova, data 1996
463	Aristarhova et al., 1991
463	Aristarhova, 1989
463	Aristarhova, data 1996
464	Aristarhova et al., 1991
464	Aristarhova, 1989
464	Aristarhova, data 1996
465	Aristarhova et al., 1991
465	Aristarhova, 1989
465	Aristarhova, data 1996
466	Aristarhova et al., 1991
466	Aristarhova, 1989
466	Aristarhova, data 1996
467	Aristarhova et al., 1991
467	Aristarhova, 1989
467	Aristarhova, data 1996
468	Aristarhova et al., 1991
468	Aristarhova, 1989
468	Aristarhova, data 1996
469	Aristarhova et al., 1991
469	Aristarhova, 1989
469	Aristarhova, data 1996
470	Aristarhova et al., 1991
470	Aristarhova, 1989
470	Aristarhova, data 1996
471	Trifonov et al., 1994
472	Basili et al., 2013
472	Trifonov et al., 1994
473	Trifonov et al., 1994
474	Trifonov et al., 1994
475	Trifonov et al., 1994
476	Trifonov et al., 1994
477	Trifonov et al., 1994
478	Trifonov et al., 1994
479	Trifonov et al., 1994
480	Trifonov et al., 1994
481	Trifonov et al., 1994
482	Karakhanian et al., 2004
482	Trifonov et al., 1994
483	Basili et al., 2013
483	Emre et al., 2013
483	Karakhanian et al., 2004
483	Saroglu et al., 1992
483	Trifonov et al., 1994
484	Trifonov et al., 1994
485	Trifonov et al., 1994
486	Trifonov et al., 1994
487	Trifonov et al., 1990
487	Trifonov et al., 1994
488	Karakhanian et al., 2004
488	Trifonov et al., 1990
488	Trifonov et al., 1994
489	Karakhanian et al., 2004
489	Trifonov et al., 1990
489	Trifonov et al., 1994
490	Trifonov et al., 1990
490	Trifonov et al., 1994
491	Karakhanian et al., 2004
491	Trifonov et al., 1990
491	Trifonov et al., 1994
492	Trifonov et al., 1990
492	Trifonov et al., 1994
493	Karakhanian et al., 2004
493	Trifonov et al., 1990
493	Trifonov et al., 1994
494	Karakhanian et al., 2004
494	Trifonov et al., 1994
494	Trifonov et al., 1994a
495	Trifonov et al., 1994
496	Trifonov et al., 1994
497	Karakhanian et al., 2004
497	Map of Iran, 2003
497	Trifonov et al., 1994
498	Trifonov et al., 1994
499	Trifonov et al., 1994
500	Trifonov et al., 1994
501	Trifonov et al., 1994
502	Trifonov et al., 1994
503	Karakhanian et al., 2004
503	Trifonov et al., 1994
503	Trifonov et al., 1994a
504	Trifonov et al., 1994
505	Trifonov et al., 1994
506	Karakhanian et al., 2004
506	Trifonov et al., 1994
507	Trifonov et al., 1994
508	Karakhanian et al., 2004
508	Trifonov et al., 1994
509	Trifonov et al., 1990
509	Trifonov et al., 1994
510	Trifonov et al., 1994
511	Trifonov et al., 1994
512	Trifonov et al., 1994
513	Trifonov et al., 1994
514	Trifonov et al., 1994
